"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id
","type
","order id","Sku","description
","quantity","marketplace
","account type","fulfillment","order city
","order state
","order postal
","product sales
","shipping credits
","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees
","fba fees
","other transaction fees
","other
","total
"
"31 Dec 2021 7:23:23 pm UTC","16914414672","Transfer
","","","To account ending with: ","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,162.50","-1,162.50"
"31 Dec 2021 11:31:43 pm UTC","16914414672","Fulfilment Fee Refund","403-8633373-6857166","","Fulfillment Fee Refund","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","69.62","0","0","69.62"
"31 Dec 2021 11:48:41 pm UTC","16914414672","Refund
","403-8633373-6857166","1K-DVUB-3C2R","Pehel International Reusable Washable cotton Gloves (Pack Of 10)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GIRIDIH","JHARKHAND","815301","-185.71","0","0","-9.29","0","0","1.86","0","20.71","0","9.44","0","-162.99"
"1 Jan 2022 5:45:33 am UTC","16914414672","Reimbursements","406-1644043-5075536","B1-XYRB-V7VZ","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","363.16","363.16"
"1 Jan 2022 5:56:17 am UTC","16914414672","Reimbursements","406-8815354-3490702","2D-7N1V-0ZCB","Reimbursement issued for lost or damaged package","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","1,080.23","1,080.23"
"1 Jan 2022 6:04:09 am UTC","16914414672","Reimbursements","408-6672589-3509939","2D-7N1V-0ZCB","Reimbursement issued for lost or damaged package","5","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","1,800.38","1,800.38"
"1 Jan 2022 9:14:56 am UTC","16914414672","Shipping Services
","403-5021504-4456325","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:14:56 am UTC","16914414672","Shipping Services
","403-9087981-2618721","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:02 am UTC","16874745912","Shipping Services
","405-6890008-9673959","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:08 am UTC","16874745912","Shipping Services
","403-7862383-3349942","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:15 am UTC","16874745912","Shipping Services
","406-4193992-7900328","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:15 am UTC","16874745912","Shipping Services
","403-9075074-1444324","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:16 am UTC","16914414672","Shipping Services
","402-2279759-0893109","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:18 am UTC","16874745912","Shipping Services
","402-5998768-1179542","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:21 am UTC","16874745912","Shipping Services
","404-5896308-7813106","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:21 am UTC","16874745912","Shipping Services
","405-6501775-5229939","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:26 am UTC","16914414672","Shipping Services
","404-6977287-7640335","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:27 am UTC","16874745912","Shipping Services
","407-2545774-6365133","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:27 am UTC","16874745912","Shipping Services
","406-5385831-0209924","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:29 am UTC","16914414672","Shipping Services
","406-1507298-8626723","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:32 am UTC","16914414672","Shipping Services
","402-7564531-3279509","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:32 am UTC","16914414672","Shipping Services
","407-7788204-8863569","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:39 am UTC","16914414672","Shipping Services
","404-0720623-1559530","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"1 Jan 2022 9:15:39 am UTC","16914414672","Shipping Services
","407-3824557-4714745","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:42 am UTC","16914414672","Shipping Services
","408-5808811-9142737","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"1 Jan 2022 9:15:44 am UTC","16874745912","Shipping Services
","171-1947616-4678735","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:50 am UTC","16874745912","Shipping Services
","402-8069448-7427518","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:50 am UTC","16874745912","Shipping Services
","405-4964389-7436361","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:15:53 am UTC","16874745912","Shipping Services
","406-6284401-5293155","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"1 Jan 2022 9:19:02 am UTC","16914414672","Shipping Services
","171-4172349-9385936","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"1 Jan 2022 9:30:13 am UTC","16914414672","Order
","407-3824557-4714745","7O-NUU2-KM8Q","DMC Nylon Industrial & Home Safety Cut Resistant Hand Gloves (White & Grey) - 10 Pairs","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","ANANDAPUR","ODISHA","758021","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"1 Jan 2022 9:30:16 am UTC","16914414672","Order
","402-7564531-3279509","WL-WF9I-VBPA","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Gowande hospital Dehugaon","MAHARASHTRA","412109","266.96","0","0","32.04","0","0","-2.67","0","-7.06","0","-14.16","0","275.11"
"1 Jan 2022 9:30:17 am UTC","16914414672","Order
","407-7788204-8863569","7O-NUU2-KM8Q","DMC Nylon Industrial & Home Safety Cut Resistant Hand Gloves (White & Grey) - 10 Pairs","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","CHIDAMBARAM","TAMIL NADU","608001","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"1 Jan 2022 9:30:19 am UTC","16874745912","Order
","404-5896308-7813106","7O-NUU2-KM8Q","DMC Nylon Industrial & Home Safety Cut Resistant Hand Gloves (White & Grey) - 10 Pairs","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NOIDA","UTTAR PRADESH","201301","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"1 Jan 2022 9:30:23 am UTC","16914414672","Order
","404-6977287-7640335","3B-SEE4-QY9J","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","DURLLABHGANJ","WEST BENGAL","721253","284.76","0","0","14.24","0","0","-2.85","0","-7.06","0","-14.16","0","274.93"
"1 Jan 2022 9:30:25 am UTC","16874745912","Order
","402-5998768-1179542","WL-WF9I-VBPA","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Hosur","TAMIL NADU","635110","533.92","0","0","64.08","0","0","-5.34","0","-14.11","0","-28.32","0","550.23"
"1 Jan 2022 9:30:27 am UTC","16914414672","Order
","404-0720623-1559530","7O-NUU2-KM8Q","DMC Nylon Industrial & Home Safety Cut Resistant Hand Gloves (White & Grey) - 10 Pairs","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NAGPUR","MAHARASHTRA","440015","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"1 Jan 2022 9:30:30 am UTC","16914414672","Order
","403-5021504-4456325","7O-NUU2-KM8Q","DMC Nylon Industrial & Home Safety Cut Resistant Hand Gloves (White & Grey) - 10 Pairs","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","RAMAGUNDAM","TELANGANA","505188","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"1 Jan 2022 9:30:37 am UTC","16914414672","Order
","403-9087981-2618721","WL-WF9I-VBPA","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MANGALURU","KARNATAKA","575002","800.88","0","0","96.12","0","0","-8.01","0","-21.17","0","-42.48","0","825.34"
"1 Jan 2022 9:30:37 am UTC","16914414672","Order
","408-5808811-9142737","3B-SEE4-QY9J","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BENGALURU","KARNATAKA","560064","284.76","0","0","14.24","0","0","-2.85","0","-7.06","0","-14.16","0","274.93"
