# Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions
# All amounts in INR, unless specified
# Definitions:
# Total sales tax liable: Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.
# TCS-CGST: Tax Collected at Source from Central GST
# TCS-SGST: Tax Collected at Source from State GST
# TCS-IGST: Tax Collected at Source from Integrated GST
# TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961
# Selling fees: Includes variable closing fees and referral fees.
# Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees
"date/time","settlement id","total"
"date/time","settlement id",
"type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"28 Feb 2022 11:29:50 pm UTC","17211222672","Refund
","402-0447361-8028365","W4-BCML-II6W","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","SHILLONG","MEGHALAYA","793010","-284.76","0","0","-14.24","0","0","2.85","0","5.64","0","14.16","0","-276.35"
"1 Mar 2022 5:25:28 am UTC","17211222672","Tax Withheld","","","TDS - Section 194-O - Mon Feb 28 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-17.78","0","0","0","0","-17.78"
"1 Mar 2022 8:05:25 am UTC","17211222672","Refund
","403-2573608-6439518","JG-L67I-52WR","PEHEL INTERNATIONAL ® Bouffant Cap (Black, 100 Pieces)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","VADODARA","GUJARAT","390021","-214.28","0","0","-10.72","1.07","1.07","0","0","4.25","0","9.44","0","-209.17"
"1 Mar 2022 8:54:38 am UTC","17211222672","Refund
","171-6963429-9157900","DV-M5JS-7A5J","Wellness Pavillion Disposable underpad, 60x90 cms, 10 Pcs/pack (Pack of 1) |Incontinence Pads, Bed Covers, Puppy Training | Thick, Super Absorbent Pro","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOLKATA","WEST BENGAL","700039","-379.04","0","0","-18.96","0","0","3.80","0","7.51","0","18.88","0","-367.81"
"1 Mar 2022 8:59:08 am UTC","17211801822","Shipping Services
","408-0074054-3547539","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 Mar 2022 8:59:14 am UTC","17211801822","Shipping Services
","402-6346177-9805961","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"1 Mar 2022 9:12:51 am UTC","17211222672","Order
","408-0074054-3547539","N8-0W4B-SDD8","SOFT HANDS Latex Medical Examination Gloves (White, Large)","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","CHENNAI","TAMIL NADU","600072","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 Mar 2022 9:13:32 am UTC","17211801822","Order
","402-6346177-9805961","NM-8PT8-XDXF","Pehel International Black Bouffant Cap 100 Pcs","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GUNTUR","ANDHRA PRADESH","522329","238.10","0","0","11.90","0","0","-2.38","0","-5.90","0","-9.44","0","232.28"
"2 Mar 2022 1:54:57 am UTC","17211222672","Refund
","408-7563672-3713907","JG-L67I-52WR","PEHEL INTERNATIONAL ® Bouffant Cap (Black, 100 Pieces)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","HYDERABAD","TELANGANA","500013","-214.29","0","0","-10.71","0","0","2.14","0","4.25","0","9.44","0","-209.17"
"2 Mar 2022 4:52:06 am UTC","17211801822","Tax Withheld","","","TDS - Section 194-O - Tue Mar 01 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-2.38","0","0","0","0","-2.38"
